30,18,106,660,99,690,4980,252
30,3,240,38,185,613,2160,204
30,5,930,140,309,990,540,2220
25,12,132,121,80,2070,3690,220
30,4,36,165,249,1920,1440,280
25,3,22,19,12,1020,650,810
19,4,3030,52,102,305,510,304
30,8,784,125,565,330,3510,84
18,5,37,11,213,1290,2520,510
22,12,258,645,150,2085,1740,500
30,6,150,445,690,770,1680,180
20,11,3670,31,150,990,150,420
25,18,44,2246,86,750,157,1560
25,5,170,179,330,870,3120,330
27,3,43,30,225,367,2280,307
30,2,181,55,226,1280,264,1590
30,4,45,25,287,739,890,2580
26,12,195,110,361,630,3870,270
30,20,168,47,318,920,2220,720
30,2,57,176,274,990,740,58
30,12,261,72,317,1440,3090,250
30,2,69,47,490,1090,4650,420
30,6,145,134,206,1200,380,2760
27,4,183,453,480,150,1320,162
30,8,41,108,408,1176,2310,434
27,5,438,258,379,948,2720,114
30,4,17,230,177,1560,2500,438
15,7,459,25,437,1392,4360,410
30,5,96,275,127,415,882,732
30,6,17,78,267,1440,1260,1190
30,4,843,70,669,299,1650,255
30,5,49,170,43,272,1920,250
30,2,18,245,148,516,2310,160
25,5,165,450,190,74,1220,170
26,4,1318,1270,73,750,2250,1230
30,4,401,1900,600,412,3030,650
30,3,13,82,138,3280,1830,602
30,5,51,112,305,816,1380,1040
25,3,88,6,6,351,2175,96
30,4,75,125,597,390,1620,40
22,4,47,136,223,865,1890,450
30,6,2536,99,251,284,1401,520
30,17,49,117,366,23,2400,1080
30,11,42,79,1384,1003,883,285
30,8,74,48,100,544,1383,383
30,3,31,27,167,271,2100,116
25,3,47,20,695,540,2130,1450
20,8,572,101,90,220,410,2760
20,2,357,88,325,910,3660,289
