22,7,470,720,1800,1800,1800,0
20,5,40,45,45,3180,1020,550
27,26,120,1056,405,3960,738,300
30,55,18,12,15,1740,1227,1200
7,14,30,158,540,3060,1800,180
30,8,20,230,84,2340,1620,360
22,6,126,180,218,720,840,192
29,6,76,25,49,1470,1260,2400
30,13,45,61,180,2760,1680,360
16,3,300,130,690,2390,1080,300
22,31,33,290,110,2880,1200,150
17,7,105,360,640,2010,3120,240
9,16,216,276,158,3060,1200,660
19,22,114,149,480,2580,1140,600
30,17,47,19,108,986,606,463
20,18,70,60,150,690,2100,240
22,10,64,39,110,3900,1800,520
22,22,26,970,126,4080,1680,150
30,19,70,60,90,740,1830,240
20,20,6,67,134,2367,3720,720
30,3,53,94,127,1980,1800,330
30,11,61,95,64,1980,1500,35
30,21,141,120,97,1740,3120,270
30,4,87,114,90,1680,1510,480
30,6,59,59,65,2050,1680,125
30,10,33,260,83,1500,2160,300
30,5,33,50,41,2670,1440,69
22,6,11,37,142,3480,1380,630
30,4,31,221,23,1860,2380,780
20,17,121,21,166,2160,3000,300
30,9,121,124,139,1680,1440,900
30,8,83,637,20,2430,2430,1830
22,4,66,88,20,660,1050,210
22,4,98,81,83,937,1560,64
20,6,548,570,270,5040,600,60
22,3,6,17,13,1680,2730,250
22,9,70,135,77,1350,1800,480
22,10,34,30,76,1590,1440,210
26,9,62,177,150,1980,2640,167
22,4,18,358,204,1665,2220,360
22,21,48,23,84,1096,2990,285
30,18,38,12,53,2950,510,150
22,44,52,235,240,1890,2589,630
12,14,34,73,55,1281,1170,607
12,29,17,17,48,2705,1214,153
9,47,77,93,83,12420,1860,220
30,3,34,39,32,652,2520,241
22,5,19,13,58,2400,2340,240
22,3,64,634,110,720,1500,540
22,3,50,61,39,1620,2820,49
