20,390,840,360,180,840,960,240,260
2,58,35,26,70,90,180,2340,330
3,90,200,400,90,56,430,2520,270
3,228,90,510,250,105,2610,1050,310
5,216,300,80,440,31,1530,1840,165
4,6,235,35,24,12,15,1320,1300
6,168,35,10,45,42,4275,1950,200
2,450,125,13,390,9,780,520,120
3,165,17,53,17,62,2460,2880,540
20,180,330,740,280,172,330,1020,690
4,12,11,210,72,131,1020,390,1020
15,17,200,53,50,160,82,620,114
7,24,62,330,121,90,47,2160,570
4,229,38,227,153,67,719,3480,350
2,154,14,116,140,84,1650,1440,660
2,64,369,149,118,135,1530,1260,560
30,252,29,116,43,33,2342,2220,460
17,287,100,203,29,140,1710,2040,283
3,282,11,174,67,126,910,1740,220
4,35,37,99,94,44,1320,870,600
3,82,703,270,71,46,2430,2160,83
3,141,61,95,18,71,1380,1320,470
8,167,51,32,74,44,930,1180,590
2,94,342,11,146,121,1170,1380,510
42,13,31,297,85,70,2140,25,600
24,18,390,43,47,46,1610,1620,316
4,148,26,140,180,2190,2640,740,240
6,44,17,18,52,90,5040,1620,180
4,52,155,70,50,201,2880,1760,499
3,17,143,46,68,30,3140,1350,790
6,183,128,167,50,129,1140,1230,1080
7,6,23,237,48,250,4230,330,120
5,169,21,63,56,29,2400,1800,160
4,368,63,149,127,121,136,1650,NaN
7,251,327,810,290,360,360,2790,420
4,115,36,294,82,44,1140,1740,170
3,18,51,77,103,67,200,3180,170
13,62,55,40,180,18,1390,1440,230
4,74,200,260,320,4,150,550,290
4,31,95,93,15,77,900,1320,NaN
9,56,27,70,115,66,4440,1430,300
12,49,95,54,118,24,1740,990,NaN
99,15,77,900,389,27,1170,1620,1160
10,80,34,49,106,36,1389,1220,720
9,17,21,80,59,55,1440,2730,105
,,,,,,,,
4,67,44,52,90,20,1740,2220,126
3,89,169,49,207,208,780,2520,2460
3,415,65,73,66,603,160,2120,540
4,129,12,25,55,39,630,4140,NaN
