72.52,90.11,68.675,78.018
79.81,90.39,77.88,83.27
86.94,92.49,87.355,89.326
68.16,87.73,60.17,72.792
86.56,94.59,85.565,89.374
89.69,89.16,91.945,90.38
87.74,92.6,87.99,89.784
94.52,93.31,95.49,94.424
82.27,81.24,84.435,82.724
81.24,92.09,78.51,84.488
94.8,96.4,94.345,95.258
83.31,88.18,81.985,84.728
78.3,88.58,76.555,81.714
76.47,88.93,75.37,81.014
82.14,88.67,82.32,84.824
80.88,92.44,76.64,83.808
81.2,83.02,83.73,82.94
73.76,76.93,76.84,76.26
95.25,93.6,97.015,95.296
90.07,91.48,91.205,91.088
82.86,94.2,80.44,86.428
91.63,89.46,94.625,91.96
79.11,83.76,80.895,81.684
78.51,90.54,71.98,80.71
81.06,87.49,79.545,83.026
83.05,88.68,82.695,85.16
92.76,92,92.4,92.312
80.08,81.24,83.97,82.1
89.9,93.44,90.055,91.378
89.49,88.56,89.53,89.134
86.76,90.22,87.925,88.61
87.68,91.93,88.515,89.714
89.24,88.49,90.87,89.592
82.55,95.04,80.08,86.558
85.52,94.71,79.725,86.878
76.09,79.06,70.535,75.056
74.98,88.57,74.515,80.23
89,91.81,89.44,90.3
93.68,93.44,95.14,94.168
87.28,89.09,89.11,88.736
85.47,93.48,83.96,88.07
69.28,88.06,62.03,73.892
95.98,95.6,96.845,96.174
80.45,91.08,79.06,84.146
92.33,97.2,88.63,92.798
88.7,88.09,89.92,88.944
62.5,68.76,66.87,66.752
83.28,94.06,81.02,86.688
79.49,80.64,80.58,80.386
65.94,72.58,67.91,69.384
88.89,94.93,88.53,91.162
86.17,92.93,84.375,88.156
89.97,88.57,93.235,90.716
85.01,89.51,86.145,87.264
89.64,92.64,88.965,90.57
93.36,93.11,92.79,93.032
86.04,89.56,87.41,87.996
66.93,82.54,60.405,70.564
90.01,92.44,91.345,91.516
95.26,93.07,97.58,95.312
92.72,90.02,95.54,92.768
96.32,97.87,96.67,97.08
92.78,93.6,93.985,93.59
77.65,84.99,78.52,80.934
65.65,82.73,60.135,70.276
75.42,75.49,78.06,76.504
80.91,93.56,78.085,84.84
87.78,89.58,89.875,89.338
76.84,93.07,69.02,80.204
79.82,90.89,77.4,83.28
80.93,97.82,71.99,84.11
76.94,94.93,71.795,82.078
72.71,82.62,72.91,76.754
74.3,80.27,72.995,76.166
86.59,90.2,86.9,88.158
75.91,87.62,74.025,79.84
84.89,93.09,84.125,87.864
64.72,87.56,46.74,66.664
78.01,97.2,70.95,82.862
79.82,87.91,79.13,82.78
84.82,93.14,83.27,87.528
78.34,88.35,76.89,81.764
83.43,83.22,86.6,84.614
80,86.57,80.295,82.746
89.51,86.2,92.57,89.41
80.1,87.73,80.645,83.37
86.32,91.81,86.5,88.588
92.76,94.93,93.04,93.74
75.07,87.54,67.005,76.832
86.46,93.39,86.505,89.25
79.51,89.59,78.56,83.162
70.35,79.51,65.12,71.922
88.53,90.2,89.865,89.732
82.64,90.02,82.19,85.412
80.95,93.44,77.685,84.64
94.86,93.07,96.595,94.838
78.53,87.74,78.595,82.24
76.68,88.08,71.12,79.016
70.39,84.73,65.625,74.22
70.4,87.91,66.84,75.98
89.39,94.2,89.285,91.272
90.5,92.6,91.78,91.852
77.27,87.9,77.765,81.72
71.91,93.76,65.385,78.04
92.02,97.2,91.595,93.922
75.15,90.87,72.645,80.436
83.79,88.76,84.455,86.044
74.1,73.29,75.7,74.416
88.49,89.56,87.92,88.69
89.41,92.67,89.615,90.796
73.56,91.16,67.73,78.268
76.44,92.89,72.595,81.482
79.26,87.81,74.705,80.858
82.06,95.6,78.925,86.222
84.81,95.38,82.27,88.022
82.96,82.56,86.1,84.056
82.7,90.26,81.49,85.24
86.58,93.67,86.535,89.398
76.7,85.53,76.85,80.292
70.35,88.27,66.99,76.174
84.55,88.68,84.57,86.21
88.21,92.72,89.04,90.346
85.45,94.59,84.655,88.788
74.27,88.92,71.135,78.876
77.82,94.71,74.845,83.386
91.5,95.82,91.67,93.296
85.16,93.31,83.35,87.696
89.93,90.02,92.295,90.912
91.42,93.76,92.29,92.704
70.05,72.76,72.985,72.308
80.64,84.69,83.16,83.268
85.93,94.27,84.94,88.87
63.1,81.41,55.08,67.216
88.4,93.16,89.095,90.582
88.8,88.84,90.645,89.554
81.33,72.09,89.365,80.848
79.62,93.67,75.39,83.548
92.3,93.53,93.47,93.26
91.74,89.46,94.27,91.84
81.9,93.53,78.72,85.28
89.1,88.68,91.565,89.918
88.51,91.62,87.785,89.464
85.76,86.81,87.6,86.916
83.6,88.76,84.625,86.074
85.52,88.93,87.36,87.62
75.12,74.82,79.23,76.644
85.31,87.14,87.395,86.876
81.97,88.01,83.17,84.866
77.91,88.58,76.19,81.49
67.28,75.49,64.575,69.482
79.24,93.17,73.045,82.334
77.97,89.89,73.785,81.064
92.46,93.56,93.845,93.454
75.63,84.53,76.415,79.504
78.31,88.27,76.885,81.724
79.13,86.2,81,82.706
88.18,97.87,85.705,91.066
87.82,90.87,89.31,89.636
85.34,93.31,84.41,88.156
74.97,72.58,81.72,76.714
82.57,71.91,88.89,80.834
87.92,92.48,88.58,90.008
88.71,81.24,93.025,87.448
62.62,80.87,60.06,68.896
91.35,95.71,91.42,93.122
86.25,90.89,80.995,86.004
94.09,97.82,93.02,95.154
83.37,85.12,84.56,84.546
87.44,92.53,87.315,89.426
95.6,94.59,96.91,95.72
79.15,94.04,75.075,83.476
82,90.48,81.4,85.152
74.83,82.56,77.025,78.8
88.53,92.48,88.845,90.236
94.54,93.81,96.295,94.95
88.97,92.49,89.315,90.516
85.04,86.97,86.24,86.292
86.58,94.59,84.975,89.142
78.77,72.58,86.225,79.276
89.47,89.58,91.595,90.364
86.66,92.67,87.11,89.244
83.66,89.09,83.81,85.892
